feature,mean_abs_shap,mean_shap,rank,imbalance_method
qty_mx_servers,0.007961107462024547,-0.003390363747129635,27,smote
asn_ip,0.007887864193352231,-0.0021142791133518884,28,smote
qty_plus_directory,0.007824372599924046,0.0008072400437716423,29,smote
time_response,0.007443057991649147,-0.0016405649417360632,30,smote
qty_redirects,0.0070618548533355596,-0.001719875125224331,31,smote
qty_hyphen_directory,0.007024520090194046,-0.001116055420314025,32,smote
qty_dot_file,0.0067501927468549975,-0.0029664186195400744,33,smote
qty_nameservers,0.00650943181761113,-0.0036949160082955486,34,smote
qty_hyphen_file,0.006166119287683126,0.00027152631468410767,35,smote
qty_dot_directory,0.00602096424160003,-0.003928678089835296,36,smote
qty_vowels_domain,0.0058918123972761085,-0.0011307270964447046,37,smote
domain_length,0.005841026991053291,-0.0009959187464088446,38,smote
qty_plus_file,0.005727227235449888,-0.0003610557838682005,39,smote
qty_percent_file,0.0057113483501011,-0.00018045094212673,40,smote
qty_hyphen_url,0.005447345079315927,0.00043626840842696295,41,smote
tls_ssl_certificate,0.004881323208423337,-0.001511391656925402,42,smote
qty_dollar_directory,0.004867038381511655,2.4027373710494197e-05,43,smote
qty_ip_resolved,0.0048121896147021665,-0.0009831396044836219,44,smote
qty_hyphen_domain,0.0042155160120421085,-5.0363538330514855e-05,45,smote
domain_spf,0.003346059367056098,-0.0014397688483696665,46,smote
qty_space_directory,0.0031344802525196842,-0.0003087061264132274,47,smote
params_length,0.00236190328995687,-0.000515145058686064,48,smote
qty_tilde_file,0.0023482709910459584,-7.433106398310476e-05,49,smote
qty_slash_params,0.001716830106764119,0.0006746118985453412,50,smote
qty_asterisk_params,0.001569085621594113,0.0003471888506211075,51,smote
qty_at_params,0.0012051779769274998,0.000539082903984904,52,smote
qty_percent_params,0.0011827714779456293,0.0006532603605420727,53,smote
qty_dot_params,0.0011778226725968311,-0.00028796239989719517,54,smote
qty_tld_url,0.0011550938572538324,-0.0004940675635592162,55,smote
tld_present_params,0.0011032660806170303,0.00012563087663334342,56,smote
qty_tilde_params,0.0009419110667078086,0.000434043358894443,57,smote
qty_and_params,0.0009414959239086159,8.176884910172065e-06,58,smote
qty_plus_params,0.0009144811574941979,0.0006168320092540854,59,smote
qty_space_params,0.0008750201622101865,0.00032174426561045177,60,smote
qty_exclamation_params,0.0008344128471181149,0.0004627869388385299,61,smote
qty_underline_params,0.0008140606225622369,0.00034572384545472547,62,smote
qty_underline_url,0.0007396738631801868,-0.0005942772351932804,63,smote
qty_comma_params,0.0006563271796951296,0.0003772767568677297,64,smote
qty_equal_params,0.0006165516013458397,-0.00010816760349844231,65,smote
url_shortened,0.0006143349399711428,-0.0002515901616717371,66,smote
qty_hyphen_params,0.000611016818675631,0.0003138757140882594,67,smote
qty_params,0.00045184990515070747,0.0002213806669395241,68,smote
qty_equal_url,0.0004484228645892627,-7.875915319295514e-05,69,smote
qty_asterisk_file,0.00043972564378549835,0.00043454682400214105,70,smote
qty_dollar_params,0.00043971231046856734,-0.00010545264566287769,71,smote
qty_questionmark_params,0.0004359613481123259,8.124157684411844e-06,72,smote
qty_space_file,0.0004056991895141492,0.00040332867241998287,73,smote
qty_percent_url,0.00024100951483737543,-4.377545138846575e-05,74,smote
